date,Australia,Austria,Bangladesh,Bulgaria,Bahrain,Bhutan,Canada,Switzerland,Chile,China,"Congo, Rep.",Cabo Verde,Costa Rica,Cuba,Czech Republic,Germany,Denmark,Dominican Republic,Spain,Finland,France,United Kingdom,Georgia,Ghana,Greece,Croatia,Hungary,India,Ireland,"Iran, Islamic Rep.",Israel,Italy,Japan,Kenya,"Korea, Rep.",Liechtenstein,Sri Lanka,Lithuania,Latvia,Morocco,Mexico,Myanmar,Montenegro,Mongolia,Malaysia,Namibia,Netherlands,New Zealand,Pakistan,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Romania,Russian Federation,Rwanda,Singapore,Serbia,Slovenia,Sweden,Eswatini,Seychelles,Thailand,United States,South Africa,Zimbabwe
2002,17,47,11,32,1,66,38,30,21,20,66,21,47,24,34,33,14,32,34,73,28,12,40,39,28,34,22,22,10,6,7,29,68,7,65,43,34,33,52,12,35,52,47,7,65,10,11,39,3,51,55,36,28,49,15,24,28,61,69,31,88,33,33,8,47
2003,17,47,11,33,1,66,38,31,21,20,66,21,48,24,34,33,13,33,34,73,29,12,40,40,29,34,22,22,10,6,7,29,68,7,65,43,34,33,53,12,35,52,47,7,64,9,11,39,3,52,54,36,28,49,15,24,28,62,69,31,88,32,33,8,46
2004,17,47,11,33,1,69,38,31,22,20,66,21,48,25,34,33,13,34,34,73,29,12,40,40,29,34,22,23,10,6,7,30,68,7,65,43,34,34,53,12,35,51,47,7,64,9,11,39,3,52,53,36,28,49,15,24,28,62,69,31,88,32,33,8,45
2005,17,47,11,34,1,70,38,31,22,21,66,21,49,25,34,33,13,34,35,73,29,12,40,40,29,34,22,23,10,7,7,30,68,7,65,43,34,34,53,12,35,51,47,7,64,9,11,39,2,52,52,36,28,49,16,24,28,62,69,31,88,32,33,8,45
2006,16,47,11,34,1,70,38,31,22,21,66,21,49,26,34,33,13,35,35,73,29,13,40,40,29,34,22,23,10,7,7,30,68,7,64,43,34,34,53,12,34,51,50,8,64,9,11,39,2,53,51,36,28,49,16,24,29,62,69,32,88,32,33,8,44
2007,16,47,11,34,1,70,38,31,22,21,66,21,50,26,34,33,13,36,35,73,29,13,40,40,30,34,22,23,10,7,7,30,68,7,64,43,34,34,53,12,34,50,53,8,65,9,11,39,2,53,50,36,28,50,17,24,29,62,69,32,88,32,33,8,43
2008,16,47,11,34,1,70,38,31,22,21,66,21,50,27,34,33,14,36,36,73,30,13,40,40,30,34,23,23,10,7,7,30,68,7,64,43,34,34,54,12,34,50,56,8,66,9,11,39,2,53,49,36,28,50,17,23,30,62,69,32,88,32,34,8,42
2009,16,47,11,34,1,71,38,31,22,21,66,21,51,27,34,33,14,37,36,73,30,13,40,40,30,34,22,23,10,7,7,31,68,7,64,43,34,34,54,13,34,49,58,8,67,9,11,39,2,54,48,35,28,50,18,23,30,62,68,32,88,32,34,8,41
2010,16,47,11,34,1,71,38,31,22,21,66,21,51,28,34,33,14,38,36,73,30,13,41,40,30,34,23,23,11,7,7,31,68,7,64,43,34,35,54,13,34,49,61,8,67,9,11,39,2,54,47,35,28,50,18,23,31,62,68,33,88,32,34,8,40
2011,16,47,11,35,1,71,38,31,22,22,66,21,52,28,34,33,14,38,37,73,30,13,41,41,31,34,23,24,11,7,7,31,68,7,64,43,33,35,54,13,34,48,61,8,67,9,11,39,2,54,46,35,29,50,18,23,31,62,68,33,88,32,34,8,40
2012,16,47,11,35,1,71,38,31,23,22,66,22,52,29,34,33,14,39,37,73,30,13,41,41,31,34,23,24,11,7,7,31,68,8,64,43,33,35,54,13,34,47,61,8,67,9,11,39,2,55,45,35,29,50,19,23,31,62,69,33,88,32,34,8,39
2013,16,47,11,35,1,72,38,32,23,22,65,22,53,30,34,33,14,40,37,73,31,13,41,41,31,34,23,24,11,7,7,31,68,8,64,43,33,35,54,13,34,46,61,8,67,9,11,39,2,55,44,35,29,50,19,23,31,62,69,34,88,32,34,8,38
2014,16,47,11,35,1,72,38,32,23,22,65,22,53,30,35,33,14,40,37,73,31,13,41,41,31,34,23,24,11,7,8,31,68,8,64,43,33,35,54,13,34,45,61,8,68,8,11,39,2,56,43,35,30,50,19,23,31,62,69,34,88,32,34,8,37
2015,16,47,11,35,1,72,38,32,24,22,65,22,54,31,35,33,15,41,37,73,31,13,41,41,31,34,23,24,11,7,8,32,68,8,63,43,33,35,54,13,34,44,61,8,68,8,11,39,2,56,42,35,30,50,19,23,31,62,69,34,88,32,34,8,36
2016,16,47,11,35,1,72,38,32,24,22,65,23,55,31,35,33,15,42,37,73,31,13,41,41,32,34,23,24,11,7,8,32,68,8,63,43,33,35,54,13,34,44,61,8,68,8,11,39,2,56,41,35,30,50,20,23,31,62,69,34,88,32,34,8,36
