Country,2016_total_area,2010_Urban_area,urban_area_per
Georgia,69490,3602.762939,5.184577549
North America,18240984,928603.3716,5.090752624
Malaysia,328550,15564.95215,4.737468315
Eswatini,17200,802.2711182,4.664366966
Pakistan,770880,35871.94141,4.653375546
Cabo Verde,4030,180.3818817,4.475977213
"Gambia, The",10120,446.1829224,4.408922158
South Africa,1213090,53460.3125,4.406953524
Ecuador,248360,10905.65137,4.391065941
"Bahamas, The",10010,425.8963623,4.254708914
"Iran, Islamic Rep.",1628760,69242.76563,4.251256516
China,9388210,380679.3,4.054865624
"Venezuela, RB",882050,34403.92578,3.900450743
Panama,74340,2892.144043,3.890427822
Guatemala,107160,4132.351074,3.856244003
Belarus,202988.0078,7783.031738,3.834232289
Samoa,2830,108.1327591,3.820945551
Jordan,88780,3383.973877,3.81163987
Philippines,298170,10817.37305,3.627921337
Bosnia and Herzegovina,51200,1723.146729,3.365520955
Honduras,111890,3702.359375,3.308927853
Colombia,1109500,36132.13672,3.256614396
New Zealand,263310,8116.299805,3.082412292
Togo,54390,1663.073608,3.057682677
Iraq,434128.0078,12429.91504,2.863191228
World,127354641.4,3629312.187,2.84976829
Haiti,27560,764.3450928,2.773385678
Ghana,227540,6239.439453,2.742128616
Morocco,446300,12057.44141,2.70164495
Uruguay,175020,4689.679688,2.679510735
Vietnam,310070,7589.041504,2.447525238
"Egypt, Arab Rep.",995450,24270.23242,2.438116673
Timor-Leste,14870,359.4190674,2.4170751
Nicaragua,120340,2882.378662,2.39519583
Middle East & North Africa,11223466.01,261305.5448,2.32820721
Indonesia,1811570,42076.82813,2.322671944
Upper middle income,57551063.02,1306019.528,2.269323032
Belize,22810,508.0564575,2.227340892
Argentina,2736690,55032.20313,2.010903797
"Korea, Dem. People’s Rep.",120410,2343.61377,1.946361407
Malawi,94280,1815.103394,1.925226341
Saudi Arabia,2149690,41223.73828,1.917659676
Nigeria,910770,17196.23438,1.888098464
Turks and Caicos Islands,950,17.49214363,1.841278277
Oman,309500,5651.354004,1.825962521
Chile,743532.0313,12027.5166,1.61761916
Brazil,8358140,134981.375,1.61496906
Canada,9093510,126511.1641,1.391224776
Benin,112760,1447.184937,1.283420483
Peru,1280000,16425.76758,1.283263092
Algeria,2381740,30195.79688,1.267804079
Russian Federation,16376870,187538.1445,1.145140338
New Caledonia,18280,208.4334564,1.140226786
Cote d'Ivoire,318000,3466.161621,1.089987931
Guinea-Bissau,28120,306.3417664,1.089408842
Myanmar,653080,6960.023438,1.065722949
Iceland,100250,1023.837036,1.021283826
Sierra Leone,72180,710.4832764,0.984321525
Senegal,192530,1796.192627,0.932941685
"Yemen, Rep.",527970,4703.399902,0.890846052
Vanuatu,12190,97.80545807,0.80234174
Cameroon,472710,3680.405762,0.778575821
Kenya,569140,4187.614746,0.735779377
Sub-Saharan Africa,21242361,140495.0269,0.661390826
Cambodia,176520,1152.062866,0.652652881
Djibouti,23180,149.8288422,0.646371192
Guinea,245720,1473.595703,0.599705235
Libya,1759540,10082.89258,0.573041396
Ethiopia,1000000,5166.71582,0.516671582
Australia,7692020,36745.70313,0.477712007
Liberia,96320,434.2752991,0.450867213
Kiribati,810,3.643230915,0.449781594
Suriname,156000,692.7034912,0.444040699
Papua New Guinea,452860,2003.610596,0.44243488
Lao PDR,230800,1018.75415,0.441401278
"Congo, Dem. Rep.",2267050,9061.722656,0.399714283
Madagascar,581800,2272.414795,0.390583499
Tanzania,885800,3405.80542,0.38448921
Eritrea,101000,366.6149292,0.362985078
Mozambique,786380,2739.14502,0.348323332
Equatorial Guinea,28050,97.47089386,0.347489818
Gabon,257670,836.4829102,0.324633411
Guyana,196850,626.756958,0.318393171
"Congo, Rep.",341500,1087.161865,0.318349009
Namibia,823290,2467.779053,0.299746025
Solomon Islands,27990,72.10932922,0.257625328
Mali,1220190,2910.42749,0.238522483
Angola,1246700,1427.029541,0.11446455
Mauritania,1030700,771.6014404,0.074861884
Somalia,627340,398.7160645,0.063556614
Greenland,410450,33.34839249,0.008124837
Afghanistan,652860,0,0
Andorra,470,,0
Armenia,28470,,0
Austria,82522.99805,,0
Azerbaijan,82670,,0
Bhutan,38143.99902,,0
Bolivia,1083300,,0
Botswana,566730,,0
Burkina Faso,273600,,0
Burundi,25680,,0
Central African Republic,622980,,0
Chad,1259200,,0
Channel Islands,197.9999924,,0
Curacao,444,,0
Czech Republic,77220,,0
Hungary,90530,,0
Kazakhstan,2699700,,0
Kosovo,10887,,0
Kyrgyz Republic,191800,,0
Lesotho,30360,,0
Liechtenstein,160,,0
Maldives,300,0,0
Marshall Islands,180,0,0
Mongolia,1553560,,0
Montenegro,13450,,0
Nepal,143350,,0
Niger,1266700,,0
Paraguay,397300,,0
Rwanda,24670,,0
Serbia,87460,,0
Sint Maarten (Dutch part),34,,0
Slovak Republic,48080,,0
St. Martin (French part),54.4,,0
Tajikistan,138790,,0
Turkmenistan,469930,,0
Tuvalu,30,0,0
Uganda,200520,,0
Uzbekistan,425400,,0
Zambia,743390,,0
Zimbabwe,386850,,0
