Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tuvalu,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Tanzania,62,62,61,61,60,60,60,59,59,58,58,57,57,56,56,55,55,55,54,54,53,53,52,52,52
Uganda,23,22,22,22,21,21,20,20,19,19,18,18,18,17,16,16,15,14,14,13,12,12,11,10,10
Ukraine,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,16,16,17,17,17,17,17,17
Upper middle income,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36
Uruguay,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,11,11
United States,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34
Uzbekistan,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
St. Vincent and the Grenadines,65,65,65,65,66,66,66,66,67,67,67,67,67,67,67,68,68,69,69,69,69,69,69,69,69
"Venezuela, RB",58,58,58,57,57,57,56,56,56,55,55,55,54,54,54,54,54,54,54,54,53,53,53,53,53
British Virgin Islands,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Virgin Islands (U.S.),66,65,64,63,62,61,60,59,58,57,56,56,55,54,53,53,53,52,52,52,51,51,51,50,50
Vietnam,30,31,32,32,33,34,35,35,38,39,40,40,41,42,43,44,44,45,46,46,46,47,47,48,48
Vanuatu,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
World,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
Samoa,49,50,52,53,55,56,58,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Zambia,71,70,70,70,70,69,69,69,69,69,68,68,68,68,67,67,67,67,67,66,66,66,66,65,65
Zimbabwe,56,55,54,53,52,51,51,50,49,48,47,46,45,45,44,43,42,41,40,40,39,38,37,36,36
